Tip,Nume,Judet,UAT
Municipiul,Botoșani,Botoșani,Primăria Municipiului Botoșani
Municipiul,Dorohoi,Botoșani,Primăria Municipiului Dorohoi
Orașul,Bucecea,Botoșani,Primăria Orașului Bucecea
Orașul,Darabani,Botoșani,Primăria Orașului Darabani
Orașul,Flămânzi,Botoșani,Primăria Orașului Flămânzi
Orașul,Săveni,Botoșani,Primăria Orașului Săveni
Orașul,Ștefănești,Botoșani,Primăria Orașului Ștefănești
Comuna,Adășeni,Botoșani,Primăria Comunei Adășeni
Comuna,Albești,Botoșani,Primăria Comunei Albești
Comuna,Avrămeni,Botoșani,Primăria Comunei Avrămeni
Comuna,Bălușeni,Botoșani,Primăria Comunei Bălușeni
Comuna,Blândești,Botoșani,Primăria Comunei Blândești
Comuna,Broscăuți,Botoșani,Primăria Comunei Broscăuți
Comuna,Brăești,Botoșani,Primăria Comunei Brăești
Comuna,Concești,Botoșani,Primăria Comunei Concești
Comuna,Copălău,Botoșani,Primăria Comunei Copălău
Comuna,Cordăreni,Botoșani,Primăria Comunei Cordăreni
Comuna,Corlăteni,Botoșani,Primăria Comunei Corlăteni
Comuna,Corni,Botoșani,Primăria Comunei Corni
Comuna,Coșula,Botoșani,Primăria Comunei Coșula
Comuna,Coțușca,Botoșani,Primăria Comunei Coțușca
Comuna,Cristești,Botoșani,Primăria Comunei Cristești
Comuna,Cristinești,Botoșani,Primăria Comunei Cristinești
Comuna,Curtești,Botoșani,Primăria Comunei Curtești
Comuna,Cândești,Botoșani,Primăria Comunei Cândești
Comuna,Călărași,Botoșani,Primăria Comunei Călărași
Comuna,Dersca,Botoșani,Primăria Comunei Dersca
Comuna,Dimăcheni,Botoșani,Primăria Comunei Dimăcheni
Comuna,Dobârceni,Botoșani,Primăria Comunei Dobârceni
Comuna,Drăgușeni,Botoșani,Primăria Comunei Drăgușeni
Comuna,Durnești,Botoșani,Primăria Comunei Durnești
Comuna,Dângeni,Botoșani,Primăria Comunei Dângeni
Comuna,Frumușica,Botoșani,Primăria Comunei Frumușica
Comuna,George Enescu,Botoșani,Primăria Comunei George Enescu
Comuna,Gorbănești,Botoșani,Primăria Comunei Gorbănești
Comuna,Havârna,Botoșani,Primăria Comunei Havârna
Comuna,Hilișeu-Horia,Botoșani,Primăria Comunei Hilișeu-Horia
Comuna,Hlipiceni,Botoșani,Primăria Comunei Hlipiceni
Comuna,Hudești,Botoșani,Primăria Comunei Hudești
Comuna,Hănești,Botoșani,Primăria Comunei Hănești
Comuna,Ibănești,Botoșani,Primăria Comunei Ibănești
Comuna,Leorda,Botoșani,Primăria Comunei Leorda
Comuna,Lozna,Botoșani,Primăria Comunei Lozna
Comuna,Lunca,Botoșani,Primăria Comunei Lunca
Comuna,Manoleasa,Botoșani,Primăria Comunei Manoleasa
Comuna,Mihai Eminescu,Botoșani,Primăria Comunei Mihai Eminescu
Comuna,Mihăileni,Botoșani,Primăria Comunei Mihăileni
Comuna,Mihălășeni,Botoșani,Primăria Comunei Mihălășeni
Comuna,Mileanca,Botoșani,Primăria Comunei Mileanca
Comuna,Mitoc,Botoșani,Primăria Comunei Mitoc
Comuna,Nicșeni,Botoșani,Primăria Comunei Nicșeni
Comuna,Pomârla,Botoșani,Primăria Comunei Pomârla
Comuna,Prăjeni,Botoșani,Primăria Comunei Prăjeni
Comuna,Păltiniș,Botoșani,Primăria Comunei Păltiniș
Comuna,Ripiceni,Botoșani,Primăria Comunei Ripiceni
Comuna,Roma,Botoșani,Primăria Comunei Roma
Comuna,Românești,Botoșani,Primăria Comunei Românești
Comuna,Răchiți,Botoșani,Primăria Comunei Răchiți
Comuna,Rădăuți-Prut,Botoșani,Primăria Comunei Rădăuți-Prut
Comuna,Răuseni,Botoșani,Primăria Comunei Răuseni
Comuna,Santa Mare,Botoșani,Primăria Comunei Santa Mare
Comuna,Suharău,Botoșani,Primăria Comunei Suharău
Comuna,Sulița,Botoșani,Primăria Comunei Sulița
Comuna,Todireni,Botoșani,Primăria Comunei Todireni
Comuna,Trușești,Botoșani,Primăria Comunei Trușești
Comuna,Tudora,Botoșani,Primăria Comunei Tudora
Comuna,Ungureni,Botoșani,Primăria Comunei Ungureni
Comuna,Unțeni,Botoșani,Primăria Comunei Unțeni
Comuna,Văculești,Botoșani,Primăria Comunei Văculești
Comuna,Viișoara,Botoșani,Primăria Comunei Viișoara
Comuna,Vlădeni,Botoșani,Primăria Comunei Vlădeni
Comuna,Vlăsinești,Botoșani,Primăria Comunei Vlăsinești
Comuna,Vorniceni,Botoșani,Primăria Comunei Vorniceni
Comuna,Vorona,Botoșani,Primăria Comunei Vorona
