Tip,Nume,Judet,UAT
Municipiul,Piatra Neamț,Neamț,Primăria Municipiului Piatra Neamț
Municipiul,Român,Neamț,Primăria Municipiului Roman
Orașul,Bicaz,Neamț,Primăria Orașului Bicaz
Orașul,Târgu Neamț,Neamț,Primăria Orașului Târgu Neamț
Orașul,Roznov,Neamț,Primăria Orașului Roznov
Comuna,Alexandru cel Bun,Neamț,Primăria Comunei Alexandru cel Bun
Comuna,Bălțătești,Neamț,Primăria Comunei Bălțătești
Comuna,Bălușești,Neamț,Primăria Comunei Bălușești
Comuna,Boghicea,Neamț,Primăria Comunei Boghicea
Comuna,Borca,Neamț,Primăria Comunei Borca
Comuna,Borlesti,Neamț,Primăria Comunei Borlesti
Comuna,Bozieni,Neamț,Primăria Comunei Bozieni
Comuna,Brusturi,Neamț,Primăria Comunei Brusturi
Comuna,Candesti,Neamț,Primăria Comunei Candesti
Comuna,Ceahlau,Neamț,Primăria Comunei Ceahlau
Comuna,Costisa,Neamț,Primăria Comunei Costisa
Comuna,Crăcăoani,Neamț,Primăria Comunei Crăcăoani
Comuna,Dămuc,Neamț,Primăria Comunei Dămuc
Comuna,Doljești,Neamț,Primăria Comunei Doljești
Comuna,Dragomirești,Neamț,Primăria Comunei Dragomirești
Comuna,Dulcești,Neamț,Primăria Comunei Dulcești
Comuna,Făurei,Neamț,Primăria Comunei Făurei
Comuna,Farcașa,Neamț,Primăria Comunei Farcașa
Comuna,Gârcina,Neamț,Primăria Comunei Gârcina
Comuna,Grințieș,Neamț,Primăria Comunei Grințieș
Comuna,Grumăzești,Neamț,Primăria Comunei Grumăzești
Comuna,Hangu,Neamț,Primăria Comunei Hangu
Comuna,Icușești,Neamț,Primăria Comunei Icușești
Comuna,Oniceni,Neamț,Primăria Comunei Oniceni
Comuna,Petricani,Neamț,Primăria Comunei Petricani
Comuna,Pipirig,Neamț,Primăria Comunei Pipirig
Comuna,Pângărați,Neamț,Primăria Comunei Pângărați
Comuna,Poiana Teiului,Neamț,Primăria Comunei Poiana Teiului
Comuna,Poienari,Neamț,Primăria Comunei Poienari
Comuna,Podoleni,Neamț,Primăria Comunei Podoleni
Comuna,Răucești,Neamț,Primăria Comunei Răucești
Comuna,Rediu,Neamț,Primăria Comunei Rediu
Comuna,Ruginoasa,Neamț,Primăria Comunei Ruginoasa
Comuna,Români,Neamț,Primăria Comunei Români
Comuna,Sagna,Neamț,Primăria Comunei Sagna
Comuna,Secuieni,Neamț,Primăria Comunei Secuieni
Comuna,Ștefan cel Mare,Neamț,Primăria Comunei Ștefan cel Mare
Comuna,Stănița,Neamț,Primăria Comunei Stănița
Comuna,Tămășeni,Neamț,Primăria Comunei Tămășeni
Comuna,Tarcău,Neamț,Primăria Comunei Tarcău
Comuna,Tasca,Neamț,Primăria Comunei Tasca
Comuna,Tibucani,Neamț,Primăria Comunei Tibucani
Comuna,Timișești,Neamț,Primăria Comunei Timișești
Comuna,Trifești,Neamț,Primăria Comunei Trifești
Comuna,Urecheni,Neamț,Primăria Comunei Urecheni
Comuna,Valea Ursului,Neamț,Primăria Comunei Valea Ursului
Comuna,Văleni,Neamț,Primăria Comunei Văleni
Comuna,Vanatori-Neamț,Neamț,Primăria Comunei Vanatori-Neamț
Comuna,Zănești,Neamț,Primăria Comunei Zănești
