Tip,Nume,Judet,UAT
Municipiul,Suceava,Suceava,Primăria Municipiului Suceava
Municipiul,Fălticeni,Suceava,Primăria Municipiului Fălticeni
Municipiul,Rădăuți,Suceava,Primăria Municipiului Rădăuți
Municipiul,Câmpulung Moldovenesc,Suceava,Primăria Municipiului Câmpulung Moldovenesc
Municipiul,Vatra Dornei,Suceava,Primăria Municipiului Vatra Dornei
Orașul,Broșteni,Suceava,Primăria Orașului Broșteni
Orașul,Cajvana,Suceava,Primăria Orașului Cajvana
Orașul,Dolhasca,Suceava,Primăria Orașului Dolhasca
Orașul,Frasin,Suceava,Primăria Orașului Frasin
Orașul,Gura Humorului,Suceava,Primăria Orașului Gura Humorului
Orașul,Liteni,Suceava,Primăria Orașului Liteni
Orașul,Milișăuți,Suceava,Primăria Orașului Milișăuți
Orașul,Salcea,Suceava,Primăria Orașului Salcea
Orașul,Siret,Suceava,Primăria Orașului Siret
Orașul,Solca,Suceava,Primăria Orașului Solca
Comuna,Adâncata,Suceava,Primăria Comunei Adâncata
Comuna,Arbore,Suceava,Primăria Comunei Arbore
Comuna,Baia,Suceava,Primăria Comunei Baia
Comuna,Bălăceana,Suceava,Primăria Comunei Bălăceana
Comuna,Bălcăuți,Suceava,Primăria Comunei Bălcăuți
Comuna,Berchișești,Suceava,Primăria Comunei Berchișești
Comuna,Bilca,Suceava,Primăria Comunei Bilca
Comuna,Bogdănești,Suceava,Primăria Comunei Bogdănești
Comuna,Boroaia,Suceava,Primăria Comunei Boroaia
Comuna,Bosanci,Suceava,Primăria Comunei Bosanci
Comuna,Botoșana,Suceava,Primăria Comunei Botoșana
Comuna,Breaza,Suceava,Primăria Comunei Breaza
Comuna,Brodina,Suceava,Primăria Comunei Brodina
Comuna,Bunești,Suceava,Primăria Comunei Bunești
Comuna,Burla,Suceava,Primăria Comunei Burla
Comuna,Cacica,Suceava,Primăria Comunei Cacica
Comuna,Ciobănuș,Suceava,Primăria Comunei Ciobănuș
Comuna,Ciprian Porumbescu,Suceava,Primăria Comunei Ciprian Porumbescu
Comuna,Comănești,Suceava,Primăria Comunei Comănești
Comuna,Cornu Luncii,Suceava,Primăria Comunei Cornu Luncii
Comuna,Crucea,Suceava,Primăria Comunei Crucea
Comuna,Dolhești,Suceava,Primăria Comunei Dolhești
Comuna,Dorna Arini,Suceava,Primăria Comunei Dorna Arini
Comuna,Dorna Candrenilor,Suceava,Primăria Comunei Dorna Candrenilor
Comuna,Dornești,Suceava,Primăria Comunei Dornești
Comuna,Drăgoiești,Suceava,Primăria Comunei Drăgoiești
Comuna,Drăgușeni,Suceava,Primăria Comunei Drăgușeni
Comuna,Dumbrăveni,Suceava,Primăria Comunei Dumbrăveni
Comuna,Dărmănești,Suceava,Primăria Comunei Dărmănești
Comuna,Forăști,Suceava,Primăria Comunei Forăști
Comuna,Frumosu,Suceava,Primăria Comunei Frumosu
Comuna,Frătăuții Noi,Suceava,Primăria Comunei Frătăuții Noi
Comuna,Frătăuții Vechi,Suceava,Primăria Comunei Frătăuții Vechi
Comuna,Fundu Moldovei,Suceava,Primăria Comunei Fundu Moldovei
Comuna,Fântâna Mare,Suceava,Primăria Comunei Fântâna Mare
Comuna,Fântânele,Suceava,Primăria Comunei Fântânele
Comuna,Grămești,Suceava,Primăria Comunei Grămești
Comuna,Grănicești,Suceava,Primăria Comunei Grănicești
Comuna,Gălănești,Suceava,Primăria Comunei Gălănești
Comuna,Horodnic de Jos,Suceava,Primăria Comunei Horodnic de Jos
Comuna,Horodnic de Sus,Suceava,Primăria Comunei Horodnic de Sus
Comuna,Horodniceni,Suceava,Primăria Comunei Horodniceni
Comuna,Hârtop,Suceava,Primăria Comunei Hârtop
Comuna,Hănțești,Suceava,Primăria Comunei Hănțești
Comuna,Iacobeni,Suceava,Primăria Comunei Iacobeni
Comuna,Iaslovăț,Suceava,Primăria Comunei Iaslovăț
Comuna,Ilișești,Suceava,Primăria Comunei Ilișești
Comuna,Ipotești,Suceava,Primăria Comunei Ipotești
Comuna,Izvoarele Sucevei,Suceava,Primăria Comunei Izvoarele Sucevei
Comuna,Marginea,Suceava,Primăria Comunei Marginea
Comuna,Mitocu Dragomirnei,Suceava,Primăria Comunei Mitocu Dragomirnei
Comuna,Moara,Suceava,Primăria Comunei Moara
Comuna,Moldova-Sulița,Suceava,Primăria Comunei Moldova-Sulița
Comuna,Moldovița,Suceava,Primăria Comunei Moldovița
Comuna,Mușenița,Suceava,Primăria Comunei Mușenița
Comuna,Mălini,Suceava,Primăria Comunei Mălini
Comuna,Mănăstirea Humorului,Suceava,Primăria Comunei Mănăstirea Humorului
Comuna,Ostra,Suceava,Primăria Comunei Ostra
Comuna,Panaci,Suceava,Primăria Comunei Panaci
Comuna,Păltinoasa,Suceava,Primăria Comunei Păltinoasa
Comuna,Păltiniș,Suceava,Primăria Comunei Păltiniș
Comuna,Pătrăuți,Suceava,Primăria Comunei Pătrăuți
Comuna,Poiana Stampei,Suceava,Primăria Comunei Poiana Stampei
Comuna,Poieni-Solca,Suceava,Primăria Comunei Poieni-Solca
Comuna,Pojorâta,Suceava,Primăria Comunei Pojorâta
Comuna,Preutești,Suceava,Primăria Comunei Preutești
Comuna,Putna,Suceava,Primăria Comunei Putna
Comuna,Pârteștii de Jos,Suceava,Primăria Comunei Pârteștii de Jos
Comuna,Râșca,Suceava,Primăria Comunei Râșca
Comuna,Rădășeni,Suceava,Primăria Comunei Rădășeni
Comuna,Sadova,Suceava,Primăria Comunei Sadova
Comuna,Satu Mare,Suceava,Primăria Comunei Satu Mare
Comuna,Siminicea,Suceava,Primăria Comunei Siminicea
Comuna,Slatina,Suceava,Primăria Comunei Slatina
Comuna,Straja,Suceava,Primăria Comunei Straja
Comuna,Stroiești,Suceava,Primăria Comunei Stroiești
Comuna,Stulpicani,Suceava,Primăria Comunei Stulpicani
Comuna,Sucevița,Suceava,Primăria Comunei Sucevița
